method,seed,height_mm,run,artifact_role,path,bytes,sha256,checkpoint_modules,training_status,config_snapshot,used_by_development_gate,promoted,visualization_recommendation,notes,attempt
FSM,,,,frozen_fsm_config,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\configs\fsm.yaml,9461,3e4b65ee87a260723d06b7c5ed6e470884917efb2ec6cb4654993e669883e4e9,N/A,FROZEN,N/A,false,false,true,canonical non-checkpoint artifact,
ASSET,,,,selected_robot_asset,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\assets\converted\wlr_robot_validation.usd,45610979,98103315e8ad456881a28a9b3dc77f7aaa8bc9a5200e40c435bea8002c4f81dd,N/A,SELECTED,N/A,false,false,false,canonical non-checkpoint artifact,
C,11,50,method-C-v34_seed-11_stage-50mm_attempt001,intermediate,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_with_com\training\method-C-v34_seed-11_stage-50mm_attempt001\checkpoints\agent_11200.pt,3165640,acc84a88d59aa93e43a4da99d63880e9ee971535e48f477b49a2b9c5f47c45d1,"[""observation_preprocessor"", ""optimizer"", ""policy"", ""state_preprocessor"", ""value"", ""value_preprocessor""]",RUNNING,"{""config_sha256"": {""fsm.yaml"": ""3e4b65ee87a260723d06b7c5ed6e470884917efb2ec6cb4654993e669883e4e9"", ""metrics.yaml"": ""6a02b1c09c23245d7ce5b44a6781557f8c578ed56ac11b9d1ef1149c413b30ab"", ""obstacle_train.yaml"": ""86f1476a82197624d1be1901bb27c0c40f0df32c36d710b1b044b2299d846267"", ""ppo_common.yaml"": ""dcf500751263661930a30cffff3f029e45d081894019cdef594e3d0c01836066"", ""ppo_with_com.yaml"": ""af62f6bf57e4b1d4e6431ff9f6746719ca1e73e99d1c5a8e6f7c3fd74a5a0b0d""}, ""residual_action_mask"": [0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1], ""residual_phase_window"": [8, 10], ""residual_projection"": ""wheel_center_z_deficient_diagonal_downward_support_phase9_counter_yaw_emergency_gate"", ""reward_weights"": {""action_rate"": -0.1, ""body_collision"": -200.0, ""com_margin"": 8.0, ""contact_impact"": -0.01, ""excessive_tilt"": -1.0, ""fall"": -200.0, ""joint_acceleration"": -0.0001, ""joint_limit"": -200.0, ""numerical"": -200.0, ""phase_progress"": 2.0, ""phase_timeout"": -200.0, ""pitch_rate_sq"": -0.25, ""progress"": 8.0, ""recovery"": 2.0, ""residual_left_right_asymmetry"": -180.0, ""residual_magnitude"": -120.0, ""slip"": -0.2, ""stuck"": -6.0, ""success"": 200.0, ""time"": -0.005, ""top_contact"": 1.0, ""wheel_speed_saturation"": -0.1}}",false,false,false,,1
C,11,50,method-C-v34_seed-11_stage-50mm_attempt001,intermediate,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_with_com\training\method-C-v34_seed-11_stage-50mm_attempt001\checkpoints\agent_12800.pt,3165640,6f7e5d1ecbf44b82d21ed1c23684a0564c472295d678e4dfa55f7397ec9cb494,"[""observation_preprocessor"", ""optimizer"", ""policy"", ""state_preprocessor"", ""value"", ""value_preprocessor""]",RUNNING,"{""config_sha256"": {""fsm.yaml"": ""3e4b65ee87a260723d06b7c5ed6e470884917efb2ec6cb4654993e669883e4e9"", ""metrics.yaml"": ""6a02b1c09c23245d7ce5b44a6781557f8c578ed56ac11b9d1ef1149c413b30ab"", ""obstacle_train.yaml"": ""86f1476a82197624d1be1901bb27c0c40f0df32c36d710b1b044b2299d846267"", ""ppo_common.yaml"": ""dcf500751263661930a30cffff3f029e45d081894019cdef594e3d0c01836066"", ""ppo_with_com.yaml"": ""af62f6bf57e4b1d4e6431ff9f6746719ca1e73e99d1c5a8e6f7c3fd74a5a0b0d""}, ""residual_action_mask"": [0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1], ""residual_phase_window"": [8, 10], ""residual_projection"": ""wheel_center_z_deficient_diagonal_downward_support_phase9_counter_yaw_emergency_gate"", ""reward_weights"": {""action_rate"": -0.1, ""body_collision"": -200.0, ""com_margin"": 8.0, ""contact_impact"": -0.01, ""excessive_tilt"": -1.0, ""fall"": -200.0, ""joint_acceleration"": -0.0001, ""joint_limit"": -200.0, ""numerical"": -200.0, ""phase_progress"": 2.0, ""phase_timeout"": -200.0, ""pitch_rate_sq"": -0.25, ""progress"": 8.0, ""recovery"": 2.0, ""residual_left_right_asymmetry"": -180.0, ""residual_magnitude"": -120.0, ""slip"": -0.2, ""stuck"": -6.0, ""success"": 200.0, ""time"": -0.005, ""top_contact"": 1.0, ""wheel_speed_saturation"": -0.1}}",false,false,false,,1
C,11,50,method-C-v34_seed-11_stage-50mm_attempt001,intermediate,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_with_com\training\method-C-v34_seed-11_stage-50mm_attempt001\checkpoints\agent_14400.pt,3165640,ded17e5f77aab1067cd778c45bb80eac1a7f7d756cc7f2f0180375ba2fc2a475,"[""observation_preprocessor"", ""optimizer"", ""policy"", ""state_preprocessor"", ""value"", ""value_preprocessor""]",RUNNING,"{""config_sha256"": {""fsm.yaml"": ""3e4b65ee87a260723d06b7c5ed6e470884917efb2ec6cb4654993e669883e4e9"", ""metrics.yaml"": ""6a02b1c09c23245d7ce5b44a6781557f8c578ed56ac11b9d1ef1149c413b30ab"", ""obstacle_train.yaml"": ""86f1476a82197624d1be1901bb27c0c40f0df32c36d710b1b044b2299d846267"", ""ppo_common.yaml"": ""dcf500751263661930a30cffff3f029e45d081894019cdef594e3d0c01836066"", ""ppo_with_com.yaml"": ""af62f6bf57e4b1d4e6431ff9f6746719ca1e73e99d1c5a8e6f7c3fd74a5a0b0d""}, ""residual_action_mask"": [0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1], ""residual_phase_window"": [8, 10], ""residual_projection"": ""wheel_center_z_deficient_diagonal_downward_support_phase9_counter_yaw_emergency_gate"", ""reward_weights"": {""action_rate"": -0.1, ""body_collision"": -200.0, ""com_margin"": 8.0, ""contact_impact"": -0.01, ""excessive_tilt"": -1.0, ""fall"": -200.0, ""joint_acceleration"": -0.0001, ""joint_limit"": -200.0, ""numerical"": -200.0, ""phase_progress"": 2.0, ""phase_timeout"": -200.0, ""pitch_rate_sq"": -0.25, ""progress"": 8.0, ""recovery"": 2.0, ""residual_left_right_asymmetry"": -180.0, ""residual_magnitude"": -120.0, ""slip"": -0.2, ""stuck"": -6.0, ""success"": 200.0, ""time"": -0.005, ""top_contact"": 1.0, ""wheel_speed_saturation"": -0.1}}",false,false,false,,1
C,11,50,method-C-v34_seed-11_stage-50mm_attempt001,intermediate,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_with_com\training\method-C-v34_seed-11_stage-50mm_attempt001\checkpoints\agent_1600.pt,3165557,da0b345d3bb8be16a51e85d20a73e0d5ca7314960ea3944fae771af21ab9acc7,"[""observation_preprocessor"", ""optimizer"", ""policy"", ""state_preprocessor"", ""value"", ""value_preprocessor""]",RUNNING,"{""config_sha256"": {""fsm.yaml"": ""3e4b65ee87a260723d06b7c5ed6e470884917efb2ec6cb4654993e669883e4e9"", ""metrics.yaml"": ""6a02b1c09c23245d7ce5b44a6781557f8c578ed56ac11b9d1ef1149c413b30ab"", ""obstacle_train.yaml"": ""86f1476a82197624d1be1901bb27c0c40f0df32c36d710b1b044b2299d846267"", ""ppo_common.yaml"": ""dcf500751263661930a30cffff3f029e45d081894019cdef594e3d0c01836066"", ""ppo_with_com.yaml"": ""af62f6bf57e4b1d4e6431ff9f6746719ca1e73e99d1c5a8e6f7c3fd74a5a0b0d""}, ""residual_action_mask"": [0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1], ""residual_phase_window"": [8, 10], ""residual_projection"": ""wheel_center_z_deficient_diagonal_downward_support_phase9_counter_yaw_emergency_gate"", ""reward_weights"": {""action_rate"": -0.1, ""body_collision"": -200.0, ""com_margin"": 8.0, ""contact_impact"": -0.01, ""excessive_tilt"": -1.0, ""fall"": -200.0, ""joint_acceleration"": -0.0001, ""joint_limit"": -200.0, ""numerical"": -200.0, ""phase_progress"": 2.0, ""phase_timeout"": -200.0, ""pitch_rate_sq"": -0.25, ""progress"": 8.0, ""recovery"": 2.0, ""residual_left_right_asymmetry"": -180.0, ""residual_magnitude"": -120.0, ""slip"": -0.2, ""stuck"": -6.0, ""success"": 200.0, ""time"": -0.005, ""top_contact"": 1.0, ""wheel_speed_saturation"": -0.1}}",false,false,false,,1
C,11,50,method-C-v34_seed-11_stage-50mm_attempt001,intermediate,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_with_com\training\method-C-v34_seed-11_stage-50mm_attempt001\checkpoints\agent_16000.pt,3165640,78c974d21abe1d8a6ca10f3eb4446d5bbb902e3d33ff90ff0bf3524264d7cfe2,"[""observation_preprocessor"", ""optimizer"", ""policy"", ""state_preprocessor"", ""value"", ""value_preprocessor""]",RUNNING,"{""config_sha256"": {""fsm.yaml"": ""3e4b65ee87a260723d06b7c5ed6e470884917efb2ec6cb4654993e669883e4e9"", ""metrics.yaml"": ""6a02b1c09c23245d7ce5b44a6781557f8c578ed56ac11b9d1ef1149c413b30ab"", ""obstacle_train.yaml"": ""86f1476a82197624d1be1901bb27c0c40f0df32c36d710b1b044b2299d846267"", ""ppo_common.yaml"": ""dcf500751263661930a30cffff3f029e45d081894019cdef594e3d0c01836066"", ""ppo_with_com.yaml"": ""af62f6bf57e4b1d4e6431ff9f6746719ca1e73e99d1c5a8e6f7c3fd74a5a0b0d""}, ""residual_action_mask"": [0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1], ""residual_phase_window"": [8, 10], ""residual_projection"": ""wheel_center_z_deficient_diagonal_downward_support_phase9_counter_yaw_emergency_gate"", ""reward_weights"": {""action_rate"": -0.1, ""body_collision"": -200.0, ""com_margin"": 8.0, ""contact_impact"": -0.01, ""excessive_tilt"": -1.0, ""fall"": -200.0, ""joint_acceleration"": -0.0001, ""joint_limit"": -200.0, ""numerical"": -200.0, ""phase_progress"": 2.0, ""phase_timeout"": -200.0, ""pitch_rate_sq"": -0.25, ""progress"": 8.0, ""recovery"": 2.0, ""residual_left_right_asymmetry"": -180.0, ""residual_magnitude"": -120.0, ""slip"": -0.2, ""stuck"": -6.0, ""success"": 200.0, ""time"": -0.005, ""top_contact"": 1.0, ""wheel_speed_saturation"": -0.1}}",false,false,false,,1
C,11,50,method-C-v34_seed-11_stage-50mm_attempt001,intermediate,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_with_com\training\method-C-v34_seed-11_stage-50mm_attempt001\checkpoints\agent_17600.pt,3165640,783cef7f7ad890fba854cd9b0411cfbb93cadbbc61c721f2a3894df15bff7d5f,"[""observation_preprocessor"", ""optimizer"", ""policy"", ""state_preprocessor"", ""value"", ""value_preprocessor""]",RUNNING,"{""config_sha256"": {""fsm.yaml"": ""3e4b65ee87a260723d06b7c5ed6e470884917efb2ec6cb4654993e669883e4e9"", ""metrics.yaml"": ""6a02b1c09c23245d7ce5b44a6781557f8c578ed56ac11b9d1ef1149c413b30ab"", ""obstacle_train.yaml"": ""86f1476a82197624d1be1901bb27c0c40f0df32c36d710b1b044b2299d846267"", ""ppo_common.yaml"": ""dcf500751263661930a30cffff3f029e45d081894019cdef594e3d0c01836066"", ""ppo_with_com.yaml"": ""af62f6bf57e4b1d4e6431ff9f6746719ca1e73e99d1c5a8e6f7c3fd74a5a0b0d""}, ""residual_action_mask"": [0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1], ""residual_phase_window"": [8, 10], ""residual_projection"": ""wheel_center_z_deficient_diagonal_downward_support_phase9_counter_yaw_emergency_gate"", ""reward_weights"": {""action_rate"": -0.1, ""body_collision"": -200.0, ""com_margin"": 8.0, ""contact_impact"": -0.01, ""excessive_tilt"": -1.0, ""fall"": -200.0, ""joint_acceleration"": -0.0001, ""joint_limit"": -200.0, ""numerical"": -200.0, ""phase_progress"": 2.0, ""phase_timeout"": -200.0, ""pitch_rate_sq"": -0.25, ""progress"": 8.0, ""recovery"": 2.0, ""residual_left_right_asymmetry"": -180.0, ""residual_magnitude"": -120.0, ""slip"": -0.2, ""stuck"": -6.0, ""success"": 200.0, ""time"": -0.005, ""top_contact"": 1.0, ""wheel_speed_saturation"": -0.1}}",false,false,false,,1
C,11,50,method-C-v34_seed-11_stage-50mm_attempt001,intermediate,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_with_com\training\method-C-v34_seed-11_stage-50mm_attempt001\checkpoints\agent_19200.pt,3165640,a83abfe7e38a5d74e40da5f2b9c43923788c9a076d99d6316a850a117e7d16e0,"[""observation_preprocessor"", ""optimizer"", ""policy"", ""state_preprocessor"", ""value"", ""value_preprocessor""]",RUNNING,"{""config_sha256"": {""fsm.yaml"": ""3e4b65ee87a260723d06b7c5ed6e470884917efb2ec6cb4654993e669883e4e9"", ""metrics.yaml"": ""6a02b1c09c23245d7ce5b44a6781557f8c578ed56ac11b9d1ef1149c413b30ab"", ""obstacle_train.yaml"": ""86f1476a82197624d1be1901bb27c0c40f0df32c36d710b1b044b2299d846267"", ""ppo_common.yaml"": ""dcf500751263661930a30cffff3f029e45d081894019cdef594e3d0c01836066"", ""ppo_with_com.yaml"": ""af62f6bf57e4b1d4e6431ff9f6746719ca1e73e99d1c5a8e6f7c3fd74a5a0b0d""}, ""residual_action_mask"": [0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1], ""residual_phase_window"": [8, 10], ""residual_projection"": ""wheel_center_z_deficient_diagonal_downward_support_phase9_counter_yaw_emergency_gate"", ""reward_weights"": {""action_rate"": -0.1, ""body_collision"": -200.0, ""com_margin"": 8.0, ""contact_impact"": -0.01, ""excessive_tilt"": -1.0, ""fall"": -200.0, ""joint_acceleration"": -0.0001, ""joint_limit"": -200.0, ""numerical"": -200.0, ""phase_progress"": 2.0, ""phase_timeout"": -200.0, ""pitch_rate_sq"": -0.25, ""progress"": 8.0, ""recovery"": 2.0, ""residual_left_right_asymmetry"": -180.0, ""residual_magnitude"": -120.0, ""slip"": -0.2, ""stuck"": -6.0, ""success"": 200.0, ""time"": -0.005, ""top_contact"": 1.0, ""wheel_speed_saturation"": -0.1}}",false,false,false,,1
C,11,50,method-C-v34_seed-11_stage-50mm_attempt001,intermediate,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_with_com\training\method-C-v34_seed-11_stage-50mm_attempt001\checkpoints\agent_3200.pt,3165557,42b77bd477499f696d12395eec95e8f78dd0111d0c47b827ebe31425710f5656,"[""observation_preprocessor"", ""optimizer"", ""policy"", ""state_preprocessor"", ""value"", ""value_preprocessor""]",RUNNING,"{""config_sha256"": {""fsm.yaml"": ""3e4b65ee87a260723d06b7c5ed6e470884917efb2ec6cb4654993e669883e4e9"", ""metrics.yaml"": ""6a02b1c09c23245d7ce5b44a6781557f8c578ed56ac11b9d1ef1149c413b30ab"", ""obstacle_train.yaml"": ""86f1476a82197624d1be1901bb27c0c40f0df32c36d710b1b044b2299d846267"", ""ppo_common.yaml"": ""dcf500751263661930a30cffff3f029e45d081894019cdef594e3d0c01836066"", ""ppo_with_com.yaml"": ""af62f6bf57e4b1d4e6431ff9f6746719ca1e73e99d1c5a8e6f7c3fd74a5a0b0d""}, ""residual_action_mask"": [0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1], ""residual_phase_window"": [8, 10], ""residual_projection"": ""wheel_center_z_deficient_diagonal_downward_support_phase9_counter_yaw_emergency_gate"", ""reward_weights"": {""action_rate"": -0.1, ""body_collision"": -200.0, ""com_margin"": 8.0, ""contact_impact"": -0.01, ""excessive_tilt"": -1.0, ""fall"": -200.0, ""joint_acceleration"": -0.0001, ""joint_limit"": -200.0, ""numerical"": -200.0, ""phase_progress"": 2.0, ""phase_timeout"": -200.0, ""pitch_rate_sq"": -0.25, ""progress"": 8.0, ""recovery"": 2.0, ""residual_left_right_asymmetry"": -180.0, ""residual_magnitude"": -120.0, ""slip"": -0.2, ""stuck"": -6.0, ""success"": 200.0, ""time"": -0.005, ""top_contact"": 1.0, ""wheel_speed_saturation"": -0.1}}",false,false,false,,1
