method,version,seed,height_mm,attempt,run_name,status,started_at,completed_at,iterations,num_envs,rollout,local_timesteps,simulated_transitions,randomization,resume_source,resume_source_sha256,optimizer_restored,scheduler_restored,observation_normalizer_restored,value_normalizer_restored,policy_restored,critic_restored,action_std_restored_with_policy,checkpoint_count,best_checkpoint,final_checkpoint,evaluation_checkpoint,development_episode_count,development_success_count,development_success_rate,gate_threshold,promote,failure reasons,margin,pitch-rate RMS,evidence
C,v34,11,50,001,method-C-v34_seed-11_stage-50mm_attempt001,RUNNING,2026-07-31T21:32:37.483468+00:00,,1200,64,64,,,full,,,false,N/A,false,false,false,false,false,13,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_with_com\training\method-C-v34_seed-11_stage-50mm_attempt001\checkpoints\best_agent.pt,,,,,,,,{},,,runs\ppo_with_com\training\method-C-v34_seed-11_stage-50mm_attempt001\training_result.json
C,v34,11,50,001,method-C-v34_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-31T21:29:55.644191+00:00,2026-07-31T21:30:01.799386+00:00,300,64,64,,,nominal,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_with_com\training\method-C-v34_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v10,11,50,001,method-B-v10_seed-11_stage-50mm_attempt001,COMPLETED,2026-07-28T19:30:50.086907+00:00,2026-07-28T22:12:46.954770+00:00,1200,64,64,76800,4915200,full,,,false,N/A,false,false,false,false,false,50,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v10_seed-11_stage-50mm_attempt001\checkpoints\best_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v10_seed-11_stage-50mm_attempt001\checkpoints\final_agent.pt,,,,,,,{},,,runs\ppo_without_com\training\method-B-v10_seed-11_stage-50mm_attempt001\training_result.json
B,v10,11,50,001,method-B-v10_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-28T19:29:15.932127+00:00,2026-07-28T19:29:21.573636+00:00,1,16,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v10_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v11,11,50,001,method-B-v11_seed-11_stage-50mm_attempt001,COMPLETED,2026-07-28T23:46:02.422279+00:00,2026-07-29T02:34:19.896742+00:00,1200,64,64,76800,4915200,full,,,false,N/A,false,false,false,false,false,50,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v11_seed-11_stage-50mm_attempt001\checkpoints\best_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v11_seed-11_stage-50mm_attempt001\checkpoints\final_agent.pt,,,,,,,{},,,runs\ppo_without_com\training\method-B-v11_seed-11_stage-50mm_attempt001\training_result.json
B,v11,11,50,001,method-B-v11_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-28T23:06:26.454165+00:00,2026-07-28T23:06:32.152426+00:00,1,16,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v11_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v12,11,50,001,method-B-v12_seed-11_stage-50mm_attempt001,COMPLETED,2026-07-29T04:07:54.566710+00:00,2026-07-29T06:57:55.391451+00:00,1200,64,64,76800,4915200,full,,,false,N/A,false,false,false,false,false,50,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v12_seed-11_stage-50mm_attempt001\checkpoints\best_agent.pt,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v12_seed-11_stage-50mm_attempt001\checkpoints\final_agent.pt,,,,,,,{},,,runs\ppo_without_com\training\method-B-v12_seed-11_stage-50mm_attempt001\training_result.json
B,v12,11,50,001,method-B-v12_seed-11_stage-50mm_smoke_attempt001,FAILED,2026-07-29T03:20:29.700783+00:00,2026-07-29T03:20:34.758455+00:00,1,16,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v12_seed-11_stage-50mm_smoke_attempt001\training_result.json
B,v12,11,50,002,method-B-v12_seed-11_stage-50mm_smoke_attempt002,SMOKE_PASS,2026-07-29T03:22:54.659695+00:00,2026-07-29T03:23:00.683276+00:00,1,16,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v12_seed-11_stage-50mm_smoke_attempt002\training_result.json
B,v13,11,50,001,method-B-v13_seed-11_stage-50mm_smoke_attempt001,SMOKE_PASS,2026-07-29T07:44:47.368717+00:00,2026-07-29T07:44:53.093239+00:00,1,16,64,,,full,,,false,N/A,false,false,false,false,false,0,,,,,,,,,{},,,runs\ppo_without_com\training\method-B-v13_seed-11_stage-50mm_smoke_attempt001\training_result.json
