index,configured_name,semantic,raw_range,effective_mask,scale,execution,post_limits,source
0,fl_dx,wheel-center x residual,"Gaussian mean tanh; sampled/clipped [-1,1]",0,0.0075 m,masked to exact zero,"IK nearest branch, servo rate limit, safe joint clamp; all-leg fallback to FSM on any invalid IK",configs\ppo_common.yaml:13-56; src\resume_validation\residual_rl_env.py:1354-1689
1,fl_dz,wheel-center z residual,"Gaussian mean tanh; sampled/clipped [-1,1]",1,0.010 m,phase/state gated and projected to shared z correction,"IK nearest branch, servo rate limit, safe joint clamp; all-leg fallback to FSM on any invalid IK",configs\ppo_common.yaml:13-56; src\resume_validation\residual_rl_env.py:1354-1689
2,fr_dx,wheel-center x residual,"Gaussian mean tanh; sampled/clipped [-1,1]",0,0.0075 m,masked to exact zero,"IK nearest branch, servo rate limit, safe joint clamp; all-leg fallback to FSM on any invalid IK",configs\ppo_common.yaml:13-56; src\resume_validation\residual_rl_env.py:1354-1689
3,fr_dz,wheel-center z residual,"Gaussian mean tanh; sampled/clipped [-1,1]",1,0.010 m,phase/state gated and projected to shared z correction,"IK nearest branch, servo rate limit, safe joint clamp; all-leg fallback to FSM on any invalid IK",configs\ppo_common.yaml:13-56; src\resume_validation\residual_rl_env.py:1354-1689
4,rl_dx,wheel-center x residual,"Gaussian mean tanh; sampled/clipped [-1,1]",0,0.0075 m,masked to exact zero,"IK nearest branch, servo rate limit, safe joint clamp; all-leg fallback to FSM on any invalid IK",configs\ppo_common.yaml:13-56; src\resume_validation\residual_rl_env.py:1354-1689
5,rl_dz,wheel-center z residual,"Gaussian mean tanh; sampled/clipped [-1,1]",1,0.010 m,phase/state gated and projected to shared z correction,"IK nearest branch, servo rate limit, safe joint clamp; all-leg fallback to FSM on any invalid IK",configs\ppo_common.yaml:13-56; src\resume_validation\residual_rl_env.py:1354-1689
6,rr_dx,wheel-center x residual,"Gaussian mean tanh; sampled/clipped [-1,1]",0,0.0075 m,masked to exact zero,"IK nearest branch, servo rate limit, safe joint clamp; all-leg fallback to FSM on any invalid IK",configs\ppo_common.yaml:13-56; src\resume_validation\residual_rl_env.py:1354-1689
7,rr_dz,wheel-center z residual,"Gaussian mean tanh; sampled/clipped [-1,1]",1,0.010 m,phase/state gated and projected to shared z correction,"IK nearest branch, servo rate limit, safe joint clamp; all-leg fallback to FSM on any invalid IK",configs\ppo_common.yaml:13-56; src\resume_validation\residual_rl_env.py:1354-1689
8,fl_wheel_speed,wheel speed residual,"Gaussian mean tanh; sampled/clipped [-1,1]",1,0.10 rad/s,phase 9 only in corrective mode,6 rad/s^2 acceleration then ±2.094 rad/s,configs\ppo_common.yaml:13-56; src\resume_validation\residual_rl_env.py:1354-1689
9,fr_wheel_speed,wheel speed residual,"Gaussian mean tanh; sampled/clipped [-1,1]",1,0.10 rad/s,phase 9 only in corrective mode,6 rad/s^2 acceleration then ±2.094 rad/s,configs\ppo_common.yaml:13-56; src\resume_validation\residual_rl_env.py:1354-1689
10,rl_wheel_speed,wheel speed residual,"Gaussian mean tanh; sampled/clipped [-1,1]",1,0.10 rad/s,phase 9 only in corrective mode,6 rad/s^2 acceleration then ±2.094 rad/s,configs\ppo_common.yaml:13-56; src\resume_validation\residual_rl_env.py:1354-1689
11,rr_wheel_speed,wheel speed residual,"Gaussian mean tanh; sampled/clipped [-1,1]",1,0.10 rad/s,phase 9 only in corrective mode,6 rad/s^2 acceleration then ±2.094 rad/s,configs\ppo_common.yaml:13-56; src\resume_validation\residual_rl_env.py:1354-1689
