file,callable,CLI command,headless support,GUI support,checkpoint argument,height argument,method argument,num_envs argument,video argument,current usability,notes
scripts\00_inventory.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\00_inventory.ps1',false,false,,,,,,SOURCE_DISCOVERED,"params=ErrorActionPreference,LASTEXITCODE,PSScriptRoot,ProjectRoot,env"
scripts\01_validate_asset.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\01_validate_asset.ps1',true,false,,,,,,SOURCE_DISCOVERED,"params=MotionSteps,SettleSteps"
scripts\02_validate_sensors_and_residual_env.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\02_validate_sensors_and_residual_env.ps1',true,false,,,,NumEnvs,,SOURCE_DISCOVERED,"params=NumEnvs,RandomSteps,SettleSteps,ZeroSteps"
scripts\03_replay_50mm_100mm.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\03_replay_50mm_100mm.ps1',true,false,,,,,,SOURCE_DISCOVERED,params=
scripts\04_build_and_tune_fsm.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\04_build_and_tune_fsm.ps1',true,false,,,,,,SOURCE_DISCOVERED,params=
scripts\05_train_B.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\05_train_B.ps1',false,false,,,,NumEnvs,,SOURCE_DISCOVERED,"params=Attempt,Iterations,NumEnvs,Rollouts,RuntimeVersion"
scripts\06_train_C.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\06_train_C.ps1',false,false,,,,NumEnvs,,SOURCE_DISCOVERED,"params=Attempt,Iterations,NumEnvs,Rollouts,RuntimeVersion"
scripts\07_run_validation.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\07_run_validation.ps1',true,false,,,,,,SOURCE_DISCOVERED,"params=RuntimeVersion,ValidationAttempt"
scripts\08_freeze_methods.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\08_freeze_methods.ps1',false,false,,,,,,SOURCE_DISCOVERED,"params=RuntimeVersion,ValidationAttempt"
scripts\09_run_locked_test.ps1,PowerShell script,& 'C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\scripts\09_run_locked_test.ps1',true,false,,,,,,SOURCE_DISCOVERED,"params=LockedAttempt,RuntimeVersion"
