height_mm,phase_id,phase_name,normalized_start,normalized_end,entry_condition,exit_condition,phase_timeout_s,debounce_steps,fallback,source
50,0,INIT,0,0.01,reset,planned reference window elapsed,N/A,0,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
50,1,SETTLE,0.01,0.04,phase 0 exit latched AND normalized reference crosses boundary,planned reference window elapsed,N/A,0,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
50,2,APPROACH,0.04,0.16,phase 1 exit latched AND normalized reference crosses boundary,either front wheel has front-face or top contact,63.05952000014482,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
50,3,FIRST_CONTACT_CONFIRM,0.16,0.2,phase 2 exit latched AND normalized reference crosses boundary,front contact remains true for 3 control steps,21.01984000004828,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
50,4,FRONT_OR_FIRST_WHEEL_LIFT,0.2,0.38,phase 3 exit latched AND normalized reference crosses boundary,at least one front wheel has top contact for 3 steps,94.58928000021723,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
50,5,FRONT_OR_FIRST_WHEEL_PLACE,0.38,0.5,phase 4 exit latched AND normalized reference crosses boundary,both front wheels have top contact for 3 steps,63.05952000014482,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
50,6,BODY_TRANSFER,0.5,0.64,phase 5 exit latched AND normalized reference crosses boundary,both front wheels retain top contact for 3 steps,73.56944000016897,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
50,7,REAR_OR_REMAINING_WHEEL_LIFT,0.64,0.78,phase 6 exit latched AND normalized reference crosses boundary,at least one rear wheel has top contact for 3 steps,73.56944000016897,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
50,8,REAR_OR_REMAINING_WHEEL_PLACE,0.78,0.88,phase 7 exit latched AND normalized reference crosses boundary,both rear wheels have top contact for 3 steps,52.54960000012068,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
50,9,RECOVER,0.88,0.94,phase 8 exit latched AND normalized reference crosses boundary,all four wheels are on top for 3 steps,31.529760000072383,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
50,10,DRIVE_CLEAR,0.94,1,phase 9 exit latched AND normalized reference crosses boundary,all four wheels on top and tilt/angular speed bounded for 3 steps,31.52976000007244,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
50,11,SUCCESS,,,success dwell predicate reaches 1.5 s (separate environment termination),terminal,N/A,0,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
50,12,FAIL,,,"fall, body/link collision, numerical error, joint limit, phase timeout, or global timeout",terminal,N/A,0,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
75,0,INIT,0,0.01,reset,planned reference window elapsed,N/A,0,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
75,1,SETTLE,0.01,0.04,phase 0 exit latched AND normalized reference crosses boundary,planned reference window elapsed,N/A,0,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
75,2,APPROACH,0.04,0.16,phase 1 exit latched AND normalized reference crosses boundary,either front wheel has front-face or top contact,63.05952000014482,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
75,3,FIRST_CONTACT_CONFIRM,0.16,0.2,phase 2 exit latched AND normalized reference crosses boundary,front contact remains true for 3 control steps,21.01984000004828,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
75,4,FRONT_OR_FIRST_WHEEL_LIFT,0.2,0.38,phase 3 exit latched AND normalized reference crosses boundary,at least one front wheel has top contact for 3 steps,94.58928000021723,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
75,5,FRONT_OR_FIRST_WHEEL_PLACE,0.38,0.5369999999999999,phase 4 exit latched AND normalized reference crosses boundary,both front wheels have top contact for 3 steps,82.50287200018944,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
75,6,BODY_TRANSFER,0.5369999999999999,0.64,phase 5 exit latched AND normalized reference crosses boundary,both front wheels retain top contact for 3 steps,54.126088000124355,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
75,7,REAR_OR_REMAINING_WHEEL_LIFT,0.64,0.78,phase 6 exit latched AND normalized reference crosses boundary,at least one rear wheel has top contact for 3 steps,73.56944000016897,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
75,8,REAR_OR_REMAINING_WHEEL_PLACE,0.78,0.88,phase 7 exit latched AND normalized reference crosses boundary,both rear wheels have top contact for 3 steps,52.54960000012068,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
75,9,RECOVER,0.88,0.94,phase 8 exit latched AND normalized reference crosses boundary,all four wheels are on top for 3 steps,31.529760000072383,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
75,10,DRIVE_CLEAR,0.94,1,phase 9 exit latched AND normalized reference crosses boundary,all four wheels on top and tilt/angular speed bounded for 3 steps,31.52976000007244,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
75,11,SUCCESS,,,success dwell predicate reaches 1.5 s (separate environment termination),terminal,N/A,0,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
75,12,FAIL,,,"fall, body/link collision, numerical error, joint limit, phase timeout, or global timeout",terminal,N/A,0,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
100,0,INIT,0,0.01,reset,planned reference window elapsed,N/A,0,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
100,1,SETTLE,0.01,0.04,phase 0 exit latched AND normalized reference crosses boundary,planned reference window elapsed,N/A,0,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
100,2,APPROACH,0.04,0.16,phase 1 exit latched AND normalized reference crosses boundary,either front wheel has front-face or top contact,63.05952000014482,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
100,3,FIRST_CONTACT_CONFIRM,0.16,0.2,phase 2 exit latched AND normalized reference crosses boundary,front contact remains true for 3 control steps,21.01984000004828,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
100,4,FRONT_OR_FIRST_WHEEL_LIFT,0.2,0.38,phase 3 exit latched AND normalized reference crosses boundary,at least one front wheel has top contact for 3 steps,94.58928000021723,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
100,5,FRONT_OR_FIRST_WHEEL_PLACE,0.38,0.574,phase 4 exit latched AND normalized reference crosses boundary,both front wheels have top contact for 3 steps,101.94622400023411,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
100,6,BODY_TRANSFER,0.574,0.64,phase 5 exit latched AND normalized reference crosses boundary,both front wheels retain top contact for 3 steps,34.682736000079686,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
100,7,REAR_OR_REMAINING_WHEEL_LIFT,0.64,0.78,phase 6 exit latched AND normalized reference crosses boundary,at least one rear wheel has top contact for 3 steps,73.56944000016897,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
100,8,REAR_OR_REMAINING_WHEEL_PLACE,0.78,0.88,phase 7 exit latched AND normalized reference crosses boundary,both rear wheels have top contact for 3 steps,52.54960000012068,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
100,9,RECOVER,0.88,0.94,phase 8 exit latched AND normalized reference crosses boundary,all four wheels are on top for 3 steps,31.529760000072383,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
100,10,DRIVE_CLEAR,0.94,1,phase 9 exit latched AND normalized reference crosses boundary,all four wheels on top and tilt/angular speed bounded for 3 steps,31.52976000007244,3,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
100,11,SUCCESS,,,success dwell predicate reaches 1.5 s (separate environment termination),terminal,N/A,0,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
100,12,FAIL,,,"fall, body/link collision, numerical error, joint limit, phase timeout, or global timeout",terminal,N/A,0,terminal failure predicates; no backward phase transition,src\resume_validation\residual_rl_env.py:957-1047; 1880-1911
