file,keywords,representative_lines,last_modified
scripts\01_validate_asset.ps1,headless,"{""headless"": [16]}",2026-07-27T02:52:32.538929
scripts\02_validate_sensors_and_residual_env.ps1,headless; residual,"{""headless"": [17, 21], ""residual"": [10, 15, 18]}",2026-07-27T03:42:21.509320
scripts\03_replay_50mm_100mm.ps1,headless,"{""headless"": [22]}",2026-07-27T04:19:10.898101
scripts\04_build_and_tune_fsm.ps1,FSM; headless,"{""FSM"": [17, 19, 33, 37], ""headless"": [24]}",2026-07-27T04:34:27.997426
scripts\05_train_B.ps1,checkpoint,"{""checkpoint"": [11, 19]}",2026-07-30T11:12:53.959760
scripts\06_train_C.ps1,checkpoint,"{""checkpoint"": [11, 19]}",2026-07-30T11:12:53.960258
scripts\07_run_validation.ps1,FSM; checkpoint; final_agent; headless,"{""FSM"": [191, 192, 194, 195, 197, 198, 201, 203, 204, 251], ""checkpoint"": [69, 70, 76, 77, 78, 80, 81, 82, 83, 86, 87, 147], ""final_agent"": [76], ""headless"": [167]}",2026-07-30T11:19:38.549687
scripts\09_run_locked_test.ps1,FSM; checkpoint; headless; locked_test,"{""FSM"": [119, 121], ""checkpoint"": [69, 70, 75, 78, 86, 106, 107, 136, 137], ""headless"": [104], ""locked_test"": [18, 22, 41, 150]}",2026-07-30T11:28:00.687131
scripts\10_generate_videos.ps1,checkpoint; deterministic; headless; locked_test; success; video,"{""checkpoint"": [81, 112, 113], ""deterministic"": [58], ""headless"": [110], ""locked_test"": [17, 20], ""success"": [92], ""video"": [4, 28, 29, 30, 32, 33, 34, 47, 50, 58, 66, 73]}",2026-07-30T11:41:10.350710
scripts\11_generate_report.ps1,locked_test; video,"{""locked_test"": [15, 18], ""video"": [4, 20, 21, 22, 24, 28, 30, 68]}",2026-07-30T12:02:33.730286
scripts\12_final_audit.ps1,locked_test; video,"{""locked_test"": [17, 20], ""video"": [4, 22, 23, 24, 26, 48]}",2026-07-30T12:31:41.009769
scripts\formal_training_monitor.ps1,FSM; checkpoint; residual; success,"{""FSM"": [44], ""checkpoint"": [98, 172, 173], ""residual"": [44, 46, 154], ""success"": [96, 156, 157, 167, 168]}",2026-07-30T11:43:38.772496
scripts\formal_training_recovery_supervisor.ps1,checkpoint; development_gate; final_agent; locked_test; residual,"{""checkpoint"": [42, 109, 112, 132, 133, 136, 137, 165, 170, 173, 250, 251], ""development_gate"": [44, 143], ""final_agent"": [42, 109], ""locked_test"": [66], ""residual"": [90]}",2026-07-31T17:28:21.890848
scripts\full_pipeline_supervisor.ps1,checkpoint; collision; development_gate; final_agent; locked_test; residual; success; video,"{""checkpoint"": [89, 92, 112, 113, 116, 117, 145, 150, 153, 222], ""collision"": [278], ""development_gate"": [123], ""final_agent"": [89], ""locked_test"": [41], ""residual"": [65], ""success"": [23, 42, 364], ""video"": [9, 11, 286, 288, 373]}",2026-07-31T17:31:26.236977
scripts\inspection\inspect_project_status.ps1,locked_test,"{""locked_test"": [44]}",2026-07-31T17:59:16.636209
scripts\inspection\inspection_common.ps1,FSM; checkpoint; development_gate; residual; success,"{""FSM"": [13, 99, 106], ""checkpoint"": [126], ""development_gate"": [13], ""residual"": [13], ""success"": [13, 69, 92, 94]}",2026-07-31T18:12:50.381478
scripts\inspection\list_available_controllers.ps1,FSM; best_agent; checkpoint; development_gate; final_agent; success,"{""FSM"": [6, 7], ""best_agent"": [21, 22, 33], ""checkpoint"": [21, 22, 25, 33], ""development_gate"": [16], ""final_agent"": [21, 22], ""success"": [26, 33]}",2026-07-31T18:12:19.742524
scripts\inspection\show_fsm_gui.ps1,FSM; success; video; viewer,"{""FSM"": [13, 14, 16, 17, 20, 29], ""success"": [5], ""video"": [6, 17], ""viewer"": [27, 29]}",2026-07-31T18:11:56.698548
scripts\inspection\show_fsm_vs_ppo.ps1,FSM; checkpoint; success; video,"{""FSM"": [16, 17, 19, 22, 28, 30, 33, 39, 42, 54, 57], ""checkpoint"": [6, 23], ""success"": [8], ""video"": [9, 20, 22, 23, 25, 49, 52, 54, 55, 57, 59]}",2026-07-31T18:05:43.633238
scripts\inspection\show_ppo_gui.ps1,best_agent; checkpoint; deterministic; development_gate; final_agent; success; video; viewer,"{""best_agent"": [25], ""checkpoint"": [6, 20, 22, 23, 25, 26, 27, 29, 34, 39], ""deterministic"": [40], ""development_gate"": [17], ""final_agent"": [26], ""success"": [8], ""video"": [9, 35], ""viewer"": [46, 48]}",2026-07-31T18:11:56.699548
scripts\prevalidation_video_smoke.ps1,FSM; headless; success; video,"{""FSM"": [38, 103], ""headless"": [115], ""success"": [85, 87, 113], ""video"": [14, 17, 18, 31, 33, 41, 42, 43, 45, 47, 48, 51]}",2026-07-30T13:02:55.527987
scripts\run_until_success.ps1,FSM; checkpoint; deterministic; final_agent; headless; locked_test; residual; success; video,"{""FSM"": [36, 37, 256, 547, 626, 632, 636, 637, 638, 639, 640, 644], ""checkpoint"": [314, 353, 374, 398, 408, 423, 424, 451, 656, 664, 675, 724], ""deterministic"": [699, 757, 761], ""final_agent"": [314], ""headless"": [561], ""locked_test"": [45, 162, 206, 744, 748, 754], ""residual"": [331, 516, 550, 576, 602, 608, 612, 613, 615, 618, 619, 647], ""success"": [19, 21, 118, 595, 607, 619, 631], ""video"": [5, 7, 43, 209, 679, 682, 683, 684, 687, 747, 757, 762]}",2026-07-31T17:31:26.236977
