time_s,env_id,base_x_m,pitch_rad,pitch_rate_rad_s,margin_m,fsm_phase,action_l2,reward,roll_rad,fl_contact_state,fr_contact_state,rl_contact_state,rr_contact_state,fl_contact_force_n,fr_contact_force_n,rl_contact_force_n,rr_contact_force_n,fl_contact_upward_force_n,fr_contact_upward_force_n,rl_contact_upward_force_n,rr_contact_upward_force_n,fl_full_wheel_on_top,fr_full_wheel_on_top,rl_full_wheel_on_top,rr_full_wheel_on_top,all_wheels_on_top,support_score,base_forward_speed_m_s,fl_wheel_surface_speed_m_s,fr_wheel_surface_speed_m_s,rl_wheel_surface_speed_m_s,rr_wheel_surface_speed_m_s,supported_slip_speed_m_s,supported_slip_ratio,supported_wheel_count,fl_wheel_y_m,fr_wheel_y_m,rl_wheel_y_m,rr_wheel_y_m,fl_wheel_x_m,fl_wheel_z_m,fr_wheel_x_m,fr_wheel_z_m,rl_wheel_x_m,rl_wheel_z_m,rr_wheel_x_m,rr_wheel_z_m,fl_load_trim_z_m,fr_load_trim_z_m,fl_unload_trim_m,fr_unload_trim_m,rl_unload_trim_m,rr_unload_trim_m,policy_action_00,policy_action_01,policy_action_02,policy_action_03,policy_action_04,policy_action_05,policy_action_06,policy_action_07,policy_action_08,policy_action_09,policy_action_10,policy_action_11,executed_action_00,executed_action_01,executed_action_02,executed_action_03,executed_action_04,executed_action_05,executed_action_06,executed_action_07,executed_action_08,executed_action_09,executed_action_10,executed_action_11,scaled_wheel_center_residual_m_00,scaled_wheel_center_residual_m_01,scaled_wheel_center_residual_m_02,scaled_wheel_center_residual_m_03,scaled_wheel_center_residual_m_04,scaled_wheel_center_residual_m_05,scaled_wheel_center_residual_m_06,scaled_wheel_center_residual_m_07,scaled_wheel_speed_residual_rad_s_00,scaled_wheel_speed_residual_rad_s_01,scaled_wheel_speed_residual_rad_s_02,scaled_wheel_speed_residual_rad_s_03,requested_wheel_center_target_m_00,requested_wheel_center_target_m_01,requested_wheel_center_target_m_02,requested_wheel_center_target_m_03,requested_wheel_center_target_m_04,requested_wheel_center_target_m_05,requested_wheel_center_target_m_06,requested_wheel_center_target_m_07,final_wheel_center_target_m_00,final_wheel_center_target_m_01,final_wheel_center_target_m_02,final_wheel_center_target_m_03,final_wheel_center_target_m_04,final_wheel_center_target_m_05,final_wheel_center_target_m_06,final_wheel_center_target_m_07,final_servo_target_rad_00,final_servo_target_rad_01,final_servo_target_rad_02,final_servo_target_rad_03,final_servo_target_rad_04,final_servo_target_rad_05,final_servo_target_rad_06,final_servo_target_rad_07,final_wheel_target_rad_s_00,final_wheel_target_rad_s_01,final_wheel_target_rad_s_02,final_wheel_target_rad_s_03,reference_00,reference_01,reference_02,reference_03,reference_04,reference_05,reference_06,reference_07,reference_08,reference_09,reference_10,reference_11
0.0,0,0.002050347626209259,-0.01004854403436184,-0.08810481429100037,0.2772531509399414,0.0,0.0537869930267334,-0.04078755900263786,0.0032179169356822968,1,1,1,1,8.479640007019043,12.581001281738281,2.1709914207458496,0.2322225421667099,8.479640007019043,12.581001281738281,2.1709914207458496,0.2322225421667099,0,0,0,0,0,0.9999718070030212,0.015384049154818058,0.018837422132492065,-0.0429510772228241,0.025314318016171455,0.006253070197999477,0.023906255140900612,0.23906256258487701,3,0.08105646073818207,-0.31727033853530884,0.07877026498317719,-0.3175375461578369,0.2504228949546814,0.03814346715807915,0.2537863850593567,0.03974366560578346,-0.30551013350486755,0.045441124588251114,-0.30626896023750305,0.04704315587878227,0.0,0.0,0.0,0.0,0.0,0.0,-0.004137560725212097,-0.0221291184425354,-0.0037923792842775583,-0.021703265607357025,-0.0005363538512028754,0.012668246403336525,0.010962637141346931,0.021508047357201576,0.023832064121961594,0.023797346279025078,0.0018304779659956694,0.004430589731782675,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.05,0,-0.00024047493934631348,-0.022579651325941086,0.15495581924915314,0.27569764852523804,0.0,0.058346472680568695,-0.01772989332675934,0.00633230060338974,1,1,1,1,2.841949224472046,0.0,12.686651229858398,8.805095672607422,2.841949224472046,0.0,12.686651229858398,8.805095672607422,0,0,0,0,0,0.9999929070472717,-0.015843341127038002,0.0027282382361590862,0.005955027882009745,0.006449474953114986,-0.005215099547058344,0.017164213582873344,0.17164212465286255,3,0.08110736310482025,-0.3172200322151184,0.07843057066202164,-0.3178774118423462,0.24946047365665436,0.04915275052189827,0.2528094947338104,0.04971294477581978,-0.3069378435611725,0.049671631306409836,-0.3070325255393982,0.04929574206471443,0.0,0.0,0.0,0.0,0.0,0.0,0.009817245416343212,-0.0145388999953866,0.011043328791856766,-0.019492030143737793,0.023553069680929184,0.02280971221625805,0.020575083792209625,0.012831478379666805,0.017590662464499474,0.01938268169760704,-0.007338485214859247,-0.013880721293389797,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.1,0,-0.00020734965801239014,-0.022341759875416756,-0.0027712765149772167,0.27948707342147827,0.0,0.04046865925192833,0.02026323601603508,0.00703013502061367,1,1,1,1,7.969447612762451,6.3801374435424805,6.283228397369385,8.011510848999023,7.969447612762451,6.3801374435424805,6.283228397369385,8.011510848999023,0,0,0,0,0,0.9999955296516418,0.002018702682107687,0.0066827330738306046,0.0069741141051054,0.005826918408274651,0.0061879148706793785,0.004399217665195465,0.04399217292666435,4,0.08107175678014755,-0.31725621223449707,0.07841842621564865,-0.31789201498031616,0.2500526010990143,0.049237996339797974,0.2534348666667938,0.04951047897338867,-0.3066174387931824,0.04963211715221405,-0.3062974810600281,0.049147725105285645,0.0,0.0,0.0,0.0,0.0,0.0,0.016169721260666847,-0.01270331721752882,0.021232685074210167,-0.01603231579065323,0.016009144484996796,0.008925292640924454,0.011119257658720016,0.0009697323548607528,0.0014139267150312662,0.00624850345775485,0.00199114833958447,-0.0012152710696682334,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.15,0,9.240023791790009e-05,-0.022446606308221817,-0.004119586665183306,0.27978941798210144,0.0,0.04306439310312271,0.020756151527166367,0.007102723699063063,1,1,1,1,8.988176345825195,5.2226104736328125,5.384370803833008,9.110905647277832,8.988176345825195,5.2226104736328125,5.384370803833008,9.110905647277832,0,0,0,0,0,0.9999969005584717,0.0034654156770557165,0.00653055589646101,0.006716799456626177,0.007737612351775169,0.005292840301990509,0.003104036208242178,0.031040363013744354,4,0.08106697350740433,-0.31726130843162537,0.07841746509075165,-0.3178935945034027,0.25070634484291077,0.0493389293551445,0.25411155819892883,0.049616388976573944,-0.3061276078224182,0.04957963153719902,-0.3056502640247345,0.04905807226896286,0.0,0.0,0.0,0.0,0.0,0.0,0.01710319146513939,-0.014432849362492561,0.023463090881705284,-0.015900662168860435,0.017258087173104286,0.0020136330276727676,0.010600972920656204,-0.0009459738503210247,-0.0032740372698754072,0.003130607306957245,-0.005643502809107304,-0.009100934490561485,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.2,0,0.0004411637783050537,-0.022412193939089775,-0.0067176204174757,0.28005531430244446,0.0,0.04201969876885414,0.021026648581027985,0.0070039755664765835,1,1,1,1,9.297590255737305,4.807812213897705,5.027331829071045,9.599139213562012,9.297590255737305,4.807812213897705,5.027331829071045,9.599139213562012,0,0,0,0,0,0.9999977350234985,0.007090039551258087,0.006624184083193541,0.00679753627628088,0.006233379244804382,0.005521412938833237,0.0007959114154800773,0.007959114387631416,4,0.08107082545757294,-0.3172573149204254,0.07842420041561127,-0.3178878128528595,0.251359224319458,0.049433283507823944,0.25479355454444885,0.04971037060022354,-0.3056129217147827,0.04952588304877281,-0.3051058351993561,0.049167193472385406,0.0,0.0,0.0,0.0,0.0,0.0,0.01663169451057911,-0.01437396090477705,0.02232319861650467,-0.015418807975947857,0.017144057899713516,0.0030146841891109943,0.01096935011446476,0.001129215583205223,-0.0017658586148172617,0.004106358624994755,-0.0050295148976147175,-0.008745349012315273,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.25,0,0.0009033996611833572,-0.022473303601145744,-0.009990203194320202,0.2802492678165436,0.0,0.04225773364305496,0.021215926855802536,0.0068625835701823235,1,1,1,1,9.901115417480469,4.2465739250183105,4.421548843383789,10.159289360046387,9.901115417480469,4.2465739250183105,4.421548843383789,10.159289360046387,0,0,0,0,0,0.9999982714653015,0.008628062903881073,0.006486651953309774,0.005862743593752384,0.006480604875832796,0.00545512605458498,0.0025567812845110893,0.025567812845110893,4,0.08107676357030869,-0.317251056432724,0.07843168079853058,-0.3178812265396118,0.2520376741886139,0.04952346906065941,0.2554882764816284,0.04979541525244713,-0.3050523102283478,0.04946214333176613,-0.3045375347137451,0.049273546785116196,0.0,0.0,0.0,0.0,0.0,0.0,0.01674051210284233,-0.014592134393751621,0.022247210144996643,-0.015356874093413353,0.017243219539523125,0.002876975340768695,0.011088164523243904,0.0016434405697509646,-0.0018847744213417172,0.004065243061631918,-0.005246296059340239,-0.009105656296014786,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.3,0,0.001438608393073082,-0.022575601935386658,-0.01202413346618414,0.2802521884441376,0.0,0.04205550625920296,0.021374806761741638,0.006690794136375189,1,1,1,1,10.612264633178711,3.566194534301758,3.741132974624634,10.821598052978516,10.612264633178711,3.566194534301758,3.741132974624634,10.821598052978516,0,0,0,0,0,0.9999985694885254,0.009454513899981976,0.006365183275192976,0.006650794763118029,0.006658692844212055,0.005363096948713064,0.0031950720585882664,0.03195071965456009,4,0.08108402043581009,-0.31724345684051514,0.0784480944275856,-0.3178655207157135,0.25272759795188904,0.04960577189922333,0.25621020793914795,0.04987071827054024,-0.3044569492340088,0.04938682168722153,-0.3039584159851074,0.049375101923942566,0.0,0.0,0.0,0.0,0.0,0.0,0.01692783460021019,-0.014564938843250275,0.021888839080929756,-0.014916840940713882,0.017326144501566887,0.002753493143245578,0.011248755268752575,0.002154585439711809,-0.0014960379339754581,0.004257932770997286,-0.005198178347200155,-0.009055403992533684,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.35,0,0.0020215101540088654,-0.022723998874425888,-0.016190379858016968,0.28023281693458557,0.0,0.04129727929830551,0.021489523351192474,0.006507734768092632,1,1,1,1,10.887456893920898,3.2767112255096436,3.378579616546631,11.182069778442383,10.887456893920898,3.2767112255096436,3.378579616546631,11.182069778442383,0,0,0,0,0,0.9999988079071045,0.009935742244124413,0.006502311211079359,0.00641724094748497,0.0072499229572713375,0.005295366048812866,0.0035695319529622793,0.03569532185792923,4,0.08109214901924133,-0.3172348141670227,0.0784616619348526,-0.31785261631011963,0.25342854857444763,0.049679361283779144,0.25693896412849426,0.049935419112443924,-0.30384570360183716,0.049302853643894196,-0.3033684492111206,0.049471043050289154,0.0,0.0,0.0,0.0,0.0,0.0,0.016306975856423378,-0.014534338377416134,0.02119900844991207,-0.014983631670475006,0.016911132261157036,0.0032247863709926605,0.010926217772066593,0.0025880818720906973,-0.002041216939687729,0.004256021697074175,-0.005257121752947569,-0.00905594602227211,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.4,0,0.0026494450867176056,-0.022870512679219246,-0.017643382772803307,0.2801964581012726,0.0,0.041141949594020844,0.021572377532720566,0.006344594992697239,1,1,1,1,11.316800117492676,2.855562210083008,3.0184271335601807,11.561416625976562,11.316800117492676,2.855562210083008,3.0184271335601807,11.561416625976562,0,0,0,0,0,0.9999989867210388,0.010593258775770664,0.006300454959273338,0.006312990561127663,0.007224888075143099,0.005285159219056368,0.004312385804951191,0.04312385618686676,4,0.08109895884990692,-0.3172275125980377,0.078463114798069,-0.317851722240448,0.254138708114624,0.0497441403567791,0.257675439119339,0.049990735948085785,-0.3031761646270752,0.04920848459005356,-0.3027578294277191,0.04956267774105072,0.0,0.0,0.0,0.0,0.0,0.0,0.016297800466418266,-0.014560419134795666,0.02086506225168705,-0.014823163859546185,0.016888197511434555,0.0031121179927140474,0.01109426748007536,0.0028288159519433975,-0.0019341931911185384,0.004346572328358889,-0.005346924532204866,-0.009096923284232616,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.45,0,0.0032950248569250107,-0.023036867380142212,-0.02329852618277073,0.28016382455825806,0.0,0.04184461757540703,0.021613750606775284,0.006178812589496374,1,1,1,1,12.077033996582031,2.1990158557891846,2.439535140991211,12.091310501098633,12.077033996582031,2.1990158557891846,2.439535140991211,12.091310501098633,0,0,0,0,0,0.9999991655349731,0.00947721116244793,0.006593421567231417,0.006060226820409298,0.00931976456195116,0.005241158418357372,0.0026735682040452957,0.026735682040452957,4,0.08110993355512619,-0.31721609830856323,0.07847370207309723,-0.3178415298461914,0.25485309958457947,0.04979570955038071,0.25841209292411804,0.05003495141863823,-0.30249908566474915,0.04910372570157051,-0.3021528422832489,0.0496477372944355,0.0,0.0,0.0,0.0,0.0,0.0,0.016785066574811935,-0.014491431415081024,0.021111510694026947,-0.01453122217208147,0.0174057986587286,0.0029813838191330433,0.01151038333773613,0.002927765715867281,-0.001745933317579329,0.004333816934376955,-0.005861442536115646,-0.009658250957727432,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
