time_s,env_id,base_x_m,pitch_rad,pitch_rate_rad_s,margin_m,fsm_phase,action_l2,reward,roll_rad,fl_contact_state,fr_contact_state,rl_contact_state,rr_contact_state,fl_contact_force_n,fr_contact_force_n,rl_contact_force_n,rr_contact_force_n,fl_contact_upward_force_n,fr_contact_upward_force_n,rl_contact_upward_force_n,rr_contact_upward_force_n,fl_full_wheel_on_top,fr_full_wheel_on_top,rl_full_wheel_on_top,rr_full_wheel_on_top,all_wheels_on_top,support_score,base_forward_speed_m_s,fl_wheel_surface_speed_m_s,fr_wheel_surface_speed_m_s,rl_wheel_surface_speed_m_s,rr_wheel_surface_speed_m_s,supported_slip_speed_m_s,supported_slip_ratio,supported_wheel_count,fl_wheel_y_m,fr_wheel_y_m,rl_wheel_y_m,rr_wheel_y_m,fl_wheel_x_m,fl_wheel_z_m,fr_wheel_x_m,fr_wheel_z_m,rl_wheel_x_m,rl_wheel_z_m,rr_wheel_x_m,rr_wheel_z_m,fl_load_trim_z_m,fr_load_trim_z_m,fl_unload_trim_m,fr_unload_trim_m,rl_unload_trim_m,rr_unload_trim_m,policy_action_00,policy_action_01,policy_action_02,policy_action_03,policy_action_04,policy_action_05,policy_action_06,policy_action_07,policy_action_08,policy_action_09,policy_action_10,policy_action_11,executed_action_00,executed_action_01,executed_action_02,executed_action_03,executed_action_04,executed_action_05,executed_action_06,executed_action_07,executed_action_08,executed_action_09,executed_action_10,executed_action_11,scaled_wheel_center_residual_m_00,scaled_wheel_center_residual_m_01,scaled_wheel_center_residual_m_02,scaled_wheel_center_residual_m_03,scaled_wheel_center_residual_m_04,scaled_wheel_center_residual_m_05,scaled_wheel_center_residual_m_06,scaled_wheel_center_residual_m_07,scaled_wheel_speed_residual_rad_s_00,scaled_wheel_speed_residual_rad_s_01,scaled_wheel_speed_residual_rad_s_02,scaled_wheel_speed_residual_rad_s_03,requested_wheel_center_target_m_00,requested_wheel_center_target_m_01,requested_wheel_center_target_m_02,requested_wheel_center_target_m_03,requested_wheel_center_target_m_04,requested_wheel_center_target_m_05,requested_wheel_center_target_m_06,requested_wheel_center_target_m_07,final_wheel_center_target_m_00,final_wheel_center_target_m_01,final_wheel_center_target_m_02,final_wheel_center_target_m_03,final_wheel_center_target_m_04,final_wheel_center_target_m_05,final_wheel_center_target_m_06,final_wheel_center_target_m_07,final_servo_target_rad_00,final_servo_target_rad_01,final_servo_target_rad_02,final_servo_target_rad_03,final_servo_target_rad_04,final_servo_target_rad_05,final_servo_target_rad_06,final_servo_target_rad_07,final_wheel_target_rad_s_00,final_wheel_target_rad_s_01,final_wheel_target_rad_s_02,final_wheel_target_rad_s_03,reference_00,reference_01,reference_02,reference_03,reference_04,reference_05,reference_06,reference_07,reference_08,reference_09,reference_10,reference_11
0.0,0,0.023341462016105652,-0.013022538274526596,0.11482547223567963,0.2811872363090515,0.0,0.0,0.14912132918834686,0.0011024805717170238,1,1,1,1,12.714151382446289,3.8829269409179688,7.918721675872803,0.0,12.714151382446289,3.8829269409179688,7.918721675872803,0.0,0,0,0,0,0,0.9998812675476074,-0.24594707787036896,0.013638370670378208,-0.05034399777650833,0.018071787431836128,2.417683572275564e-05,0.23973579704761505,2.397357940673828,3,0.08114944398403168,-0.3171718716621399,0.07888796180486679,-0.31741735339164734,0.2740977704524994,0.03834109753370285,0.2775287330150604,0.03980577737092972,-0.2972661554813385,0.048968832939863205,-0.29712435603141785,0.0495038703083992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.05,0,0.015666522085666656,-0.02682233788073063,0.1289275586605072,0.2805386483669281,0.0,0.0,-0.0209418386220932,0.0023936801590025425,1,1,1,1,10.592903137207031,0.0,1.932223916053772,14.988917350769043,10.592903137207031,0.0,1.932223916053772,14.988917350769043,0,0,0,0,0,0.9999775886535645,-0.07423675805330276,0.00259248330257833,0.006003181915730238,0.006658697966486216,0.0065566073171794415,0.07881130278110504,0.788112998008728,2,0.08023785054683685,-0.3180806040763855,0.07894018292427063,-0.31736695766448975,0.26907098293304443,0.048941176384687424,0.2702953815460205,0.049775630235672,-0.29860198497772217,0.04920469596982002,-0.29886698722839355,0.049287114292383194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.1,0,0.013757815584540367,-0.02484786882996559,0.020577864721417427,0.28191494941711426,0.0,0.0,0.01640859618782997,0.0029744512867182493,1,1,1,1,10.273694038391113,3.593501567840576,4.040676116943359,10.773796081542969,10.273694038391113,3.593501567840576,4.040676116943359,10.773796081542969,0,0,0,0,0,0.9999909996986389,-0.01943615823984146,0.0023691782262176275,0.004773130640387535,0.009275626391172409,0.007768905721604824,0.025482868775725365,0.25482869148254395,4,0.08020824939012527,-0.31810399889945984,0.07892251014709473,-0.31738439202308655,0.26883742213249207,0.048888951539993286,0.2691113352775574,0.04921359196305275,-0.2982182502746582,0.0491439551115036,-0.29869601130485535,0.049320951104164124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.15,0,0.013109934516251087,-0.02424972504377365,0.012135099619626999,0.2821604609489441,0.0,0.0,0.018872950226068497,0.002885970054194331,1,1,1,1,10.919865608215332,3.0849831104278564,3.525653123855591,11.23495101928711,10.919865608215332,3.0849831104278564,3.525653123855591,11.23495101928711,0,0,0,0,0,0.9999959468841553,-0.006561840418726206,0.0025314255617558956,0.004917938262224197,0.006769894622266293,0.0075734760612249374,0.012010023929178715,0.120100237429142,4,0.0802120715379715,-0.3180989623069763,0.07892055809497833,-0.31738588213920593,0.2689136266708374,0.04890654608607292,0.26898953318595886,0.04927949607372284,-0.2975761592388153,0.049030330032110214,-0.2981964349746704,0.049402784556150436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.2,0,0.013016348704695702,-0.024022843688726425,0.0038820814806967974,0.28224417567253113,0.0,0.0,0.020344365388154984,0.002764298813417554,1,1,1,1,11.135567665100098,2.8916923999786377,2.985776424407959,11.529383659362793,11.135567665100098,2.8916923999786377,2.985776424407959,11.529383659362793,0,0,0,0,0,0.9999979734420776,0.0011647433275356889,0.002689782530069351,0.004195458721369505,0.007148911710828543,0.0073629021644592285,0.004184520337730646,0.041845206171274185,4,0.08021669834852219,-0.3180934488773346,0.07891468703746796,-0.3173910081386566,0.2691338360309601,0.04895373061299324,0.26908713579177856,0.0493650957942009,-0.29676899313926697,0.048887819051742554,-0.2975711524486542,0.049497589468955994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.25,0,0.01319970190525055,-0.023659981787204742,0.021236876025795937,0.2822675406932831,0.0,0.0,0.021006569266319275,0.002884095534682274,1,1,1,1,10.570789337158203,3.4994900226593018,4.008712291717529,10.836610794067383,10.570789337158203,3.4994900226593018,4.008712291717529,10.836610794067383,0,0,0,0,0,0.999998927116394,0.00788393709808588,0.002875129459425807,0.0030397893860936165,0.00719961803406477,0.007861420512199402,0.0026399476919323206,0.02639947645366192,4,0.08020981401205063,-0.31810110807418823,0.0789145678281784,-0.3173907995223999,0.2694382667541504,0.04901048541069031,0.2694564163684845,0.049450211226940155,-0.2959713935852051,0.048987533897161484,-0.2968793213367462,0.04960213229060173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.3,0,0.013581688515841961,-0.023410849273204803,0.01740395277738571,0.28230682015419006,0.0,0.0,0.021231524646282196,0.003046697936952114,1,1,1,1,10.485687255859375,3.566459894180298,3.844695568084717,10.889389038085938,10.485687255859375,3.566459894180298,3.844695568084717,10.889389038085938,0,0,0,0,0,0.9999992847442627,0.00896657258272171,0.003058298956602812,0.0043738828971982,0.009399107657372952,0.007445197086781263,0.003113718703389168,0.03113718330860138,4,0.0801989734172821,-0.3181130290031433,0.07890252768993378,-0.31740251183509827,0.26980406045913696,0.04907643049955368,0.26994946599006653,0.04953519627451897,-0.29517650604248047,0.049130555242300034,-0.2961544096469879,0.04970023036003113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.35,0,0.014054040424525738,-0.023187492042779922,0.008401703089475632,0.28229984641075134,0.0,0.0,0.0216483436524868,0.00321564800105989,1,1,1,1,9.858565330505371,4.082683563232422,4.325572967529297,10.420578956604004,9.858565330505371,4.082683563232422,4.325572967529297,10.420578956604004,0,0,0,0,0,0.9999995231628418,0.012375874444842339,0.003427026094868779,0.0047785816714167595,0.00966467522084713,0.007495345082134008,0.006034467369318008,0.06034467741847038,4,0.0801876038312912,-0.31812551617622375,0.07888652384281158,-0.31741851568222046,0.2702014446258545,0.04914586618542671,0.27046632766723633,0.04961453750729561,-0.29439765214920044,0.049263082444667816,-0.2954004406929016,0.04978952184319496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.4,0,0.014690288342535496,-0.023027727380394936,0.0076033324003219604,0.2822261452674866,0.0,0.0,0.021829310804605484,0.003440412925556302,1,1,1,1,10.194955825805664,3.852424383163452,4.099093437194824,10.556655883789062,10.194955825805664,3.852424383163452,4.099093437194824,10.556655883789062,0,0,0,0,0,0.9999995231628418,0.012628605589270592,0.0035177995450794697,0.004743833560496569,0.009621920064091682,0.007429981604218483,0.0063002221286296844,0.06300222128629684,4,0.08017473667860031,-0.31813961267471313,0.07887893915176392,-0.31742653250694275,0.2706605792045593,0.049223992973566055,0.2710447907447815,0.04969676584005356,-0.2935950756072998,0.04938562586903572,-0.29459020495414734,0.049871381372213364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
0.45,0,0.015337272547185421,-0.022904474288225174,0.005827965680509806,0.28216031193733215,0.0,0.0,0.021899886429309845,0.0036294881720095873,1,1,1,1,10.17713451385498,3.8326568603515625,4.0276570320129395,10.581562042236328,10.17713451385498,3.8326568603515625,4.0276570320129395,10.581562042236328,0,0,0,0,0,0.9999995231628418,0.012715596705675125,0.0036553796380758286,0.00448836712166667,0.009577835910022259,0.007414707448333502,0.00643152417615056,0.06431523710489273,4,0.08016060292720795,-0.31815487146377563,0.07886599749326706,-0.3174399137496948,0.27113211154937744,0.04930020123720169,0.2716386020183563,0.04977027699351311,-0.2928112745285034,0.049493975937366486,-0.2937697470188141,0.04993797838687897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,0.134965717792511,-0.15710830688476562,0.13928383588790894,-0.15407103300094604,0.13638877868652344,0.1497691422700882,0.13452383875846863,0.1492631733417511,-0.0016772589879110456,-0.013852698728442192,0.019468417391180992,-0.017904143780469894,-0.0474177822470665,0.012228554114699364,-0.049882590770721436,0.04951764643192291,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.0,0.0,1.0,0.0,-0.0,1.0,-0.0,-0.9999998807907104,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.30000001192092896
