absolute_path,relative_path,file_type,size,modified_time,sha256,selected_as_reference,selection_reason
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\__init__.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/__init__.py,py,59,2026-07-07T22:21:36.487759+00:00,4e19208805886e1e06365ea35adb56e4dadd9f5f3eb82cc90662ec6d879a7b79,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\analysis_task\__init__.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/analysis_task/__init__.py,py,624,2026-07-23T01:25:52.234234+00:00,b61646766f12fc41565070bad902ca946557d125ac01e6a9b4b256ca3ad819e3,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\analysis_task\coordinator.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/analysis_task/coordinator.py,py,3969,2026-07-22T23:00:16.311809+00:00,ee3bf5719131e4b6005d43f094685592700dbadda3d00d0ee1a79b06ab95de5d,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\analysis_task\sequence_manager.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/analysis_task/sequence_manager.py,py,4078,2026-07-23T00:00:20.142107+00:00,d4508447a8e36e8f89f72af1d065dbee6f7b6ce89adbc4bba9d396a071a9912a,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\analysis_task\state.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/analysis_task/state.py,py,24356,2026-07-23T02:50:44.429133+00:00,d45ba073c6d6708fbb002b58a9044026444228dac6510941489f857fb2dfa866,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\analysis_task\validation_result.py,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/analysis_task/validation_result.py,py,3037,2026-07-23T01:25:47.326789+00:00,5faf4ce28e9d34c9db010609464c242e659902d91916f975b09fa62fcad2d9d5,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\e2e\data_quality_after_final.json,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/e2e/data_quality_after_final.json,json,1376,2026-07-23T02:04:30.017202+00:00,81134b321875de221051ce94c3431f174a53c6ba1fb483953d07eca2b6f681c1,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\e2e\dynamic_data_quality.json,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/e2e/dynamic_data_quality.json,json,341,2026-07-23T02:04:29.988194+00:00,fd8d0d74e0d35abfad69aef1eab1ad065948fad377f39901726d44e290a78fb1,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\e2e\stability_after_clean.json,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/e2e/stability_after_clean.json,json,96022374,2026-07-23T01:58:50.642881+00:00,f1c1047d29b8753f928254ed8a11c82a91bda32517eb9b380d0438718253c89b,false,candidate or supporting source; not frozen as primary reference
C:\robotics_sim\wlr_robot\_backups\height_based_obstacle_replay_pre_refactor_20260723_012630\artifacts\e2e\stability_after_final.json,_backups/height_based_obstacle_replay_pre_refactor_20260723_012630/artifacts/e2e/stability_after_final.json,json,96120531,2026-07-23T02:03:53.046686+00:00,f188d7b087eb21d54fca8c9ca6374fd548abeaafc374a5b23ad139592d87a1b8,false,candidate or supporting source; not frozen as primary reference
